A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,,Distractor 4,
lull,trust,cajole,compliance,balk,fortitude,betray,loyalty,hinder,destination,soothe,passion
ostrich,bird,lion,cat,goose,flock,ewe,sheep,cub,bear,primate,monkey
word,language,note,music,paint,portrait,poetry,rhythm,tale,story,week,year
coop,poultry,aquarium,fish,forest,wildlife,crib,nursery,fence,yard,barn,tool
legend,map,key,chart,subtitle,translation,bar,graph,figure,blueprint,footnote,information
billboard,advertisement,canvas,painting,sculpture,museum,store,window,library,book,theater,intermission
custom,society,rule,game,hypothesis,evidence,testimony,trial,ballot,election,contest,debate
tunnel,mine,corridor,building,conduit,fluid,corner,intersection,sign,detour,aisle,seat
diversion,boredom,assurance,uncertainty,enmity,hatred,secrecy,curiosity,reward,deed,sluggishness,fatigue
thicket,shrubs,grove,trees,orchard,apples,pasture,cows,reef,waves,crop,plants
condescending,respect,merciless,compassion,bashful,attention,obliging,thanks,insecure,doubt,pathetic,pity
livid,anger,radiant,happiness,querulous,reconciliation,forlorn,hope,graceful,posture,marvelous,wonder
fathom,depth,appraise,value,amplify,volume,overflow,capacity,stump,answer,weigh,scale
remuneration,labor,trophy,victory,gratuity,bonus,apology,regret,pledge,donation,debt,loan
tutor,pupil,coach,athlete,patron,client,waiter,diner,driver,passenger,novelist,writer
decorate,plain,cook,raw,create,talented,mend,repaired,sing,vocal,narrate,fictitious
pallid,color,parched,moisture,vital,energy,restrained,limit,measured,quantity,deliberate,intention
drift,move,ramble,walk,sprint,run,boil,heat,evade,elude,crawl,creep
crass,refinement,pretentious,modesty,inefficient,time,prudent,discretion,clairvoyant,perception,inept,mistake
pariah,ostracism,idol,adulation,gourmand,food,scapegoat,symbol,collector,ownership,protagonist,narrative
audience,theater,spectators,arena,crew,ship,scholars,library,group,society,actors,stage
quart,volume,mile,distance,day,night,decade,century,friction,heat,part,whole
cartographer,maps,architect,blueprints,bibliographer,books,curator,artworks,traveler,countries,surveyor,instruments
abrasive,skin,corrosive,iron,flammable,fire,resilient,shock,soluble,water,responsive,stimulus
canal,waterway,reservoir,lake,skyline,city,bank,stream,hub,wheel,dam,river
throng,people,swarm,insects,game,players,picnic,woods,cat,kittens,vase,flowers
foolhardy,recklessness,serene,tranquility,defiant,complacency,precious,worthlessness,sociable,antagonism,lucky,persistence
emend,faulty,purify,contaminated,recruit,competent,fracture,separable,renovate,habitable,reproduce,copied
neighbor,proximity,adversary,opposition,supervisor,obedience,comrade,victory,traitor,loyalty,teammate,competitiveness
heckler,disconcert,lobbyist,persuade,outcast,exclude,firebrand,soothe,performer,applaud,monarch,depose
veer,course,digress,subject,swerve,obstacle,blaze,paint,bar,door,emigrate,travel
reveler,merrymaking,disputant,argument,hedonist,restraint,demagogue,emotion,anarchist,authority,litigant,settlement
malinger,work,hide,discovery,escape,flight,accuse,crime,shun,ridicule,guess,answer
shove,nudge,stare,glance,vex,mutter,calm,quell,teach,lecture,push,fight
barley,grain,pine,tree,yeast,bread,vine,fruit,knot,rope,twig,nest
locomotive,train,tractor,plow,horse,saddle,rudder,rowboat,camel,desert,gasoline,automobile
abridge,novel,abbreviate,word,interrupt,conversation,rehearse,play,terminate,ending,punctuate,sentence
chief,hierarchy,summit,mountain,office,rank,platoon,army,president,term,lawyer,court
unfetter,pinioned,enlighten,ignorant,recite,practiced,sully,impure,revere,unrecognized,adore,cordial
wing,air,flipper,water,arm,hand,lung,breath,cloud,sky,engine,jet
condense,short,deflate,flat,shrink,wet,measure,equal,magnify,invisible,increase,boundless
orator,speech,comedian,jokes,protagonist,story,chronicler,events,playwright,stage,vocalist,voice
jubilation,joy,compassion,sympathy,exaggeration,truth,security,instability,fortitude,danger,emotion,anger
dingy,building,shabby,clothes,discolored,bruise,devastated,city,vacant,apartment,chapped,lips
rangers,forest,police,precinct,panel,contest,corps,army,members,board,climbers,mountain
stimulant,activity,fertilizer,growth,symptom,disease,food,hunger,diagnosis,treatment,gravity,force
paramount,importance,precious,value,debatable,quality,inaccurate,correction,modulated,pitch,unheralded,publicity
raucous,sound,rough,texture,dim,light,noisy,uproar,tanned,leather,hard,granite
tourniquet,bleeding,splint,movement,relapse,condition,lotion,skin,hoist,elevating,inflation,expanding
cloying,sweetness,garish,brightness,shiny,polish,pale,hue,raspy,softness,enchanting,desire
perfidious,treachery,servile,submissiveness,philanthropic,destitution,truculent,temperament,bereft,consolation,resplendent,drabness
corroborate,claim,document,assertion,disprove,evidence,sentence,punishment,promise,advancement,disseminate,information
lubricant,slide,glue,adhere,battery,discharge,stain,cleanse,poison,ingest,water,drink
stomp,walk,shout,speak,devour,starve,run,scamper,prepare,finish,deliberate,conclude
index,topics,roster,names,agenda,meeting,diary,secrets,manual,equipment,ledger,numbers
mendicant,beg,braggart,boast,sycophant,demean,parasite,contribute,hero,worship,dissembler,believe
prudent,indiscretion,frugal,wastefulness,proud,accomplishment,generous,wealth,disqualified,competition,disgruntled,cynicism
viscous,flow,stiff,bend,transparent,see,stationary,stop,arid,rain,damp,soak
map,navigate,blueprint,build,manuscript,submit,license,revoke,writing,erase,receipt,pay
skull,head,skeleton,body,heart,organ,finger,hand,elbow,joint,scalp,hair
accomplice,crime,partner,business,inmate,prison,detective,clue,employer,work,salesperson,store
barricade,access,bind,movement,heal,illness,demand,due,complete,task,chat,conversation
ensemble,dancer,band,musician,clique,outsider,gymnasium,athlete,museum,curator,audience,performer
consider,contemplate,examine,scrutinize,smile,greet,write,compose,complain,bicker,ignore,notice
congeal,solid,melt,liquid,heat,fire,breathe,air,immunize,disease,push,resistance
shear,wool,reap,wheat,whittle,wood,sweep,broom,prune,tree,rake,leaves
epilogue,book,finale,symphony,sequel,movie,conclusion,title,tiff,quarrel,intermission,play
glutton,moderation,scoundrel,virtue,thief,larceny,peer,nobility,gambler,luck,benefactor,gift
affectation,behavior,facade,appearance,speech,topic,tension,violence,buffoonery,action,pretense,honesty
exhortation,urge,eulogy,praise,division,unite,agreement,dissent,travesty,reproduce,charity,donate
cooperation,collusion,imitation,forgery,evidence,proof,achievement,reward,damage,compensation,emotion,ecstasy
gaze,observer,hear,listener,banish,exile,separate,joint,operate,doctor,sprain,ankle
odometer,distance,scale,weight,microscope,size,decibel,loudness,orchestra,instrument,computer,data
copyright,book,patent,design,franchise,license,lease,owner,trademark,registration,brand,manufacturer
feign,deceive,flee,elude,dangle,drop,send,receive,contract,lengthen,publish,write
ethos,values,code,principles,accord,nations,policy,officials,debate,opinions,offense,criminals
torpid,sluggish,comic,funny,wrong,apologetic,refracted,direct,sad,empathetic,merry,morose
ruler,line,compass,circle,stamp,letter,period,dot,key,door,thermometer,degree
catnap,sleep,snack,meal,exhaustion,slumber,blink,eye,swallow,bite,feast,banquet
manager,store,administrator,hospital,technician,laboratory,student,school,spectator,arena,president,electorate
wallet,money,suitcase,clothing,safe,lock,camera,film,setting,jewel,car,engine
