A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,,Distractor 4,
roof,house,sail,boat,hair,color,table,chair,monkey,banana,trash,can
fire,candle,motor,diesel,juice,cup,oven,pan,car,gear,picture,frame
rock,dirt,shell,sand,carpet,floor,shirt,button,hungry,full,printer,ink
coward,brave,heat,cold,volcano,lava,grill,fish,lawn,mower,music,note
moon,Milky Way,key,keyboard,candy,teeth,rubber,texture,soup,bowl,shoe,foot
coffee,mug,ice,cooler,ring,finger,fin,fish,signal,traffic,chair,table
window,light,screen,wind,car,lane,triangle,shape,lake,boat,sun,moon
rude,polite,sleep,wake,kindness,gentleness,fun,smile,work,money,cruel,mean
monkey,primate,grape,fruit,airplane,speed,trip,plan,pen,paper,dog,cat
suit,lawyer,scrubs,nurse,scream,mouth,sugar,coffee,drill,bit,pool,water
building,architect,garden,landscaper,corn,bird,chemical,plant,grass,mower,plant,seed
Christmas,December,snow,Colorado,October,weather,glass,juice,anger,honesty,January,heat
actor,script,doctor,x-ray,carpenter,saw,mechanic,engine,program,computer,dentist,drill
refuge,safety,predicament,difficulty,cage,freedom,cave,home,bunker,bomb,anger,soothing
geologist,rock,psychiatrist,mind,botanist,animal,lawyer,client,psychology,blood,farmer,field
vegetables,stew,sugar,cake,mud,ground,water,liquid,sweet,tooth,poison,vanilla
hair,head,moss,rock,milk,butter,grass,seed,corn,field,virus,food
fish,gill,kangaroo,lung,kangaroo,air,kangaroo,hop,kangaroo,fur,kangaroo,pouch
boil,steam,motor,exhaust,motor,noise,motor,turn,motor,gasoline,motor,power
sentence,paragraph,word,sentence,word,meaning,word,communication,word,letter,word,speaking
summer,winter,reserved,bombastic,reserved,cordial,reserved,simmer,reserved,benign,reserved,finite
trite,banal,content,gratify,content,challenge,content,pious,content,frank,content,shine
running,fatigue,eating,full,eating,food,eating,chew,eating,swallow,eating,digestion
page,book,yolk,egg,yolk,write,yolk,room,yolk,chair,yolk,money
barn,cow,coop,chicken,coop,monkey,coop,donkey,coop,alligator,coop,bird
bone,leg,frame,house,frame,chair,frame,bench,frame,stand,frame,beam
fortunate,prosperity,despondent,dejected,despondent,crisis,despondent,derogatory,despondent,exuberant,despondent,vanity
sane,insane,cajole,demand,cajole,coax,cajole,jab,cajole,offend,cajole,redistribute
recycle,preserve,waste,squander,waste,relinquish,waste,save,waste,reduce,waste,use
book,series,link,chain,link,metal,link,unit,link,circle,link,strength
