A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,,Distractor 4,
anarchist,government,abolitionist,slavery,activist,diversity,feminist,men,politician,order,teetotaler,prohibition
propaganda,opinion,sermon,morality,commercial,economy,battle,violence,diatribe,negativity,eulogy,death
couch,furniture,knife,cutlery,bookcase,encyclopedia,bed,canopy,cinema,rental,protestor,villain
surreptitious,obvious,pacifying,enraging,scholarly,professional,harmonious,musical,sponsored,bribed,artistic,masterful
finale,musical,homestretch,race,inning,baseball,stitch,tapestry,mystery,novel,barista,coffee
listen,eavesdrop,move,sneak,grin,smile,donate,relinquish,assume,conclude,prognosticate,guess
glutton,moderation,braggart,humility,professor,knowledge,sage,wisdom,lawyer,prudence,caretaker,affection
winery,merlot,brewery,beer,supermarket,espresso,marathon,water,café,whiskey,grove,applesauce
hidden,covert,feminine,ladylike,diverse,ordinary,angry,judgmental,hardworking,dull,prohibited,allowed
cat,shed,bird,molt,elephant,hunt,dog,fetch,ferret,burrow,human,tattoo
bluff,intentions,disguise,appearance,cloak,mask,backpack,computer,envelope,messenger,prayer,faith
sharp,blunt,forgiving,harsh,studious,intelligent,impairment,temporary,philosophical,religious,translated,interpreted
game,spectators,opera,audience,theater,actors,diner,waitresses,museum,dinosaurs,school,pupils
arid,moisture,stoic,emotion,vacant,emptiness,prophetic,vision,crystal,clarity,salty,sodium
pain,sensation,excitement,emotion,knowledge,mathematics,resonance,music,pork,meatloaf,judgment,court
bohemian,unconventional,pariah,unpopular,fairy,ephemeral,symphony,cacophonous,masterpiece,novel,libertine,chaste
articulate,mute,graceful,klutzy,spectacular,showy,ornate,elegant,embellished,superficial,excruciating,painful
waterway,navigable,mountain,surmountable,farm,famished,vault,unimpressed,fountain,youthful,judge,ramshackle
splinter,woodwork,shard,glass,skin,cell,guitar,orchestra,seed,bagel,glaze,pottery
clemency,forgiveness,ardor,passion,oblivion,repaired,nirvana,faith,intoxication,sobriety,digestion,cuisine
altercation,discussion,diatribe,speech,sermon,preacher,judgment,mercy,insult,critic,requiem,composer
grain,silo,water,reservoir,fuel,ration,gasoline,automobile,snowbound,igloo,parchment,library
anguish,pain,longing,desire,lust,virtue,bliss,sadness,emptiness,vacancy,similarity,relationship
predictable,spontaneity,unfeeling,sympathy,stormy,reason,capricious,will,dreamy,rest,unafraid,shame
