A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,,Distractor 4,
enigma,mysterious,bigot,prejudiced,beetle,venomous,politician,obtuse,professor,glib,potion,potent
veil,enshroud,lampoon,mock,beautician,paint,laureate,preside,flare,locate,lantern,identify
poison,noxious,maze,labyrinthine,performance,stellar,satellite,worldly,wavelength,shallow,leather,worn
placid,tumultuous,credible,dubious,coveted,desired,reviled,despised,tangential,irrelevant,unconventional,irregular
blatant,obvious,preeminent,important,obscure,marred,legendary,unbelievable,novel,obsolete,powerful,dominant
blasphemy,religion,treason,state,fornication,marriage,lethargy,energy,avarice,currency,apathy,motivation
tawdry,taste,haughty,humility,vicious,wrath,bourgeois,wealth,paraplegic,legs,misshapen,deformity
tedium,excitement,acceptance,denial,revision,edition,honor,prestige,mortgage,debt,perturbation,frustration
frail,brawn,longwinded,brevity,humorous,wit,obtuse,intensity,disinterested,ennui,tenuous,weakness
acrophobia,heights,agoraphobia,crowds,claustrophobia,closets,homophobia,discrimination,vertigo,balance,arachnophobia,insects
heretic,unorthodox,braggart,boastful,hero,folksy,javelin,underhanded,hiatus,eternal,jinx,auspicious
debunk,verify,revere,denigrate,besmirch,slander,cower,submit,pontificate,pronounce,capitulate,surrender
legend,map,page,tome,continent,nation,tirade,government,legion,family,army,soldier
epistle,letter,decathlon,competition,multitude,feast,lounge,vacation,credo,church,festival,carnival
archaeologist,hieroglyphics,translator,languages,theologian,cancer,sojourner,destiny,storyteller,mysteries,courier,packages
thwart,frustrate,laud,praise,retain,burst,meditate,snooze,bully,balk,bristle,brush
buttress,wall,philanthropist,charity,precinct,city,column,pillar,cream,lotion,document,preamble
jury,deliberate,lobbyist,persuade,candidate,deprecate,precedent,preside,ruse,illuminate,parachute,open
saccharine,sweet,sacrosanct,sacred,omniscient,omnipotent,lethargic,slovenly,hypocritical,dissonant,obtuse,angular
altruism,selfishness,impartiality,bias,alacrity,clarity,passion,fervor,levity,flippancy,gravity,momentum
bishop,ordained,palace,stately,transgression,acceptable,cliché,intrepid,loft,unattainable,character,humorous
pragmatic,practical,trivial,negligible,irritation,pleasing,tenacious,faltering,opaque,translucent,unusual,ludicrous
cauldron,pot,pictograph,symbol,vibration,perception,flavor,currency,luminary,phantasm,paragon,light
precept,guidance,alibi,defense,chord,musical,footnote,connotation,mathematician,numbers,epilogue,introduction
